FIPS_state,FIPS_county,year,incidentType,declarationTitle,state
25,000,1953,Tornado,TORNADO,MA
26,000,1953,Tornado,TORNADO,MI
48,000,1953,Tornado,TORNADO & HEAVY RAINFALL,TX
26,000,1953,Tornado,TORNADO,MI
13,000,1953,Tornado,TORNADO,GA
22,000,1953,Flood,FLOOD,LA
48,000,1953,Flood,FLOOD,TX
30,000,1953,Flood,FLOODS,MT
33,000,1953,Fire,FOREST FIRE,NH
46,000,1954,Flood,FLOOD,SD
32,000,1954,Earthquake,EARTHQUAKE,NV
44,000,1954,Hurricane,HURRICANES,RI
48,000,1954,Flood,FLOOD,TX
28,000,1954,Tornado,TORNADO,MS
54,000,1954,Flood,FLOOD,WV
12,000,1954,Flood,FLOOD,FL
02,000,1954,Other,SEVERE HARDSHIP,AK
13,000,1954,Tornado,TORNADO,GA
19,000,1954,Flood,FLOOD,IA
23,000,1954,Hurricane,HURRICANES,ME
35,000,1955,Flood,FLOOD,NM
06,000,1954,Flood,FLOOD & EROSION,CA
09,000,1954,Hurricane,HURRICANES,CT
36,000,1955,Hurricane,HURRICANES,NY
15,000,1955,Volcano,VOLCANO,HI
08,000,1955,Flood,FLOOD,CO
19,000,1953,Flood,FLOOD,IA
45,000,1955,Hurricane,HURRICANE,SC
25,000,1954,Hurricane,HURRICANES,MA
18,000,1955,Flood,FLOOD,IN
37,000,1955,Hurricane,HURRICANES,NC
20,000,1955,Tornado,TORNADO,KS
37,000,1955,Hurricane,HURRICANE,NC
02,000,1955,Other,SEVERE HARDSHIP,AK
09,000,1955,Hurricane,"HURRICANE, TORRENTIAL RAIN & FLOODS",CT
40,000,1955,Flood,FLOOD & TORNADO,OK
34,000,1955,Hurricane,HURRICANE & FLOODS,NJ
32,000,1955,Flood,FLOOD,NV
42,000,1955,Flood,FLOODS & RAINS,PA
35,000,1955,Flood,FLOOD,NM
45,000,1955,Hurricane,HURRICANES,SC
44,000,1955,Hurricane,HURRICANE & FLOOD,RI
06,000,1956,Flood,FLOOD,CA
25,000,1955,Hurricane,HURRICANE & FLOODS,MA
02,000,1956,Other,SEVERE HARDSHIP,AK
36,000,1955,Hurricane,HURRICANE & FLOODS,NY
41,000,1956,Flood,FLOOD,OR
32,000,1956,Flood,FLOOD,NV
53,000,1956,Flood,FLOOD,WA
42,000,1956,Flood,FLOOD,PA
36,000,1956,Flood,FLOOD,NY
40,000,1956,Tornado,TORNADOES,OK
26,000,1956,Tornado,TORNADO,MI
37,000,1956,Severe Storm(s),SEVERE STORM,NC
16,000,1956,Flood,FLOODS,ID
39,000,1956,Other,WIND STORM,OH
42,000,1956,Severe Storm(s),SEVERE STORM,PA
32,000,1956,Flood,FLOOD,NV
42,000,1956,Severe Storm(s),STORM,PA
08,000,1956,Flood,FLOOD,CO
72,000,1956,Hurricane,HURRICANE,PR
22,000,1957,Hurricane,HURRICANE,LA
41,000,1956,Flood,STORM & FLOOD,OR
06,000,1957,Fire,FOREST FIRE,CA
54,000,1957,Flood,FLOOD,WV
41,000,1957,Flood,FLOOD,OR
17,000,1957,Flood,FLOODS,IL
15,000,1957,Other,TIDAL WAVE,HI
40,000,1957,Flood,FLOOD,OK
16,000,1957,Flood,FLOOD,ID
53,000,1957,Flood,FLOODS,WA
51,000,1957,Flood,FLOODS,VA
05,000,1957,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",AR
21,000,1957,Flood,FLOOD,KY
22,000,1957,Hurricane,FLOODS & HURRICANE,LA
29,000,1957,Tornado,TORNADOES & FLOODS,MO
06,000,1958,Flood,HEAVY RAINSTORMS & FLOOD,CA
48,000,1957,Hurricane,"HURRICANE, RAIN, WIND, HAIL & FLOODS",TX
38,000,1957,Tornado,TORNADO,ND
27,000,1957,Flood,FLOODS,MN
05,000,1958,Flood,HEAVY RAINSTORMS & FLOODS,AR
22,000,1958,Flood,FLOODS,LA
15,000,1959,Hurricane,HURRICANE DOT,HI
48,000,1958,Tornado,"TORNADOES, RAIN, HAIL & FLOODS",TX
42,000,1959,Flood,FLOODS,PA
18,021,1959,Flood,FLOOD,IN
39,000,1959,Flood,FLOODS,OH
20,000,1959,Flood,FLOODS,KS
37,000,1958,Hurricane,HURRICANE & SEVERE STORM,NC
20,000,1957,Flood,FLOODS,KS
40,000,1959,Flood,FLOOD,OK
19,000,1958,Flood,FLOODS,IA
48,000,1959,Flood,FLOODS,TX
31,000,1960,Flood,FLOODS,NE
12,000,1960,Other,SEVERE WEATHER CONDITIONS,FL
40,000,1960,Flood,HEAVY RAINS & FLOODS,OK
15,000,1960,Earthquake,EARTHQUAKES & VOLCANIC DISTURBANCES,HI
46,000,1960,Flood,FLOODS,SD
15,000,1960,Other,TIDAL WAVES,HI
29,000,1960,Flood,FLOODS,MO
05,000,1960,Tornado,TORNADOES & FLOODS,AR
48,000,1960,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",TX
37,000,1960,Hurricane,HURRICANE DONNA,NC
12,000,1960,Hurricane,HURRICANE DONNA,FL
16,000,1960,Fire,FIRES,ID
40,000,1960,Severe Storm(s),"HEAVY RAINS, HAIL, FLOODS & TORNADOES",OK
18,000,1961,Flood,FLOODS,IN
28,000,1961,Flood,FLOODS,MS
01,000,1961,Flood,FLOODS,AL
05,000,1961,Flood,FLOODS & TORNADOES,AR
06,000,1962,Fire,FIRE (LOS ANGELES COUNTY),CA
19,000,1961,Flood,FLOODS,IA
13,000,1961,Flood,FLOODS,GA
54,000,1961,Flood,FLOODS,WV
17,000,1961,Flood,FLOODS & TORNADOES,IL
16,000,1961,Flood,FLOODS,ID
29,000,1961,Flood,FLOODS,MO
48,000,1961,Hurricane,HURRICANE CARLA,TX
32,000,1962,Flood,FLOODS,NV
06,000,1962,Flood,FLOODS,CA
10,000,1962,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",DE
36,000,1962,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",NY
16,000,1962,Flood,FLOODS,ID
54,000,1962,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",WV
24,000,1962,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",MD
51,000,1962,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",VA
16,000,1963,Flood,FLOODS,ID
19,000,1962,Flood,FLOODS,IA
21,000,1962,Flood,FLOODS,KY
37,000,1962,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",NC
34,000,1962,Flood,"SEVERE STORM, HIGH TIDES & FLOODING",NJ
53,000,1963,Severe Storm(s),SEVERE STORMS,WA
46,000,1962,Flood,FLOODS & TORNADOES,SD
41,000,1963,Flood,FLOODS,OR
41,000,1963,Severe Storm(s),SEVERE STORMS,OR
22,000,1963,Toxic Substances,CHLORINE BARGE ACCIDENT,LA
28,000,1963,Toxic Substances,CHLORINE BARGE ACCIDENT,MS
31,000,1962,Flood,FLOODS,NE
31,000,1962,Flood,FLOODS,NE
32,000,1963,Flood,FLOODS,NV
06,000,1963,Flood,SEVERE STORMS & FLOODING,CA
66,000,1963,Typhoon,TYPHOON KAREN,GU
12,000,1963,Flood,ABNORMALLY HIGH TIDES,FL
21,000,1963,Flood,SEVERE STORMS & FLOODING,KY
53,000,1963,Flood,FLOODS,WA
54,000,1963,Flood,SEVERE STORMS & FLOODING,WV
13,000,1963,Flood,SEVERE STORMS & FLOODING,GA
47,000,1963,Flood,SEVERE STORMS & FLOODING,TN
06,000,1963,Flood,"SEVERE STORMS, HEAVY RAINS & FLOODING",CA
15,000,1963,Flood,HEAVY RAINS & FLOODING,HI
