FIPS_state,FIPS_county,year,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
01,015,2004,279,330,413,576,652
01,081,2004,278,388,499,648,820
01,009,2004,425,481,559,758,840
01,073,2004,425,481,559,758,840
01,115,2004,425,481,559,758,840
01,117,2004,425,481,559,758,840
01,113,2004,377,419,503,656,712
01,079,2004,370,374,471,611,730
01,103,2004,370,374,471,611,730
01,045,2004,335,343,426,586,595
01,069,2004,335,343,426,586,595
01,033,2004,315,361,464,579,649
01,077,2004,315,361,464,579,649
01,055,2004,279,341,393,511,629
01,083,2004,388,455,561,747,890
01,089,2004,388,455,561,747,890
01,003,2004,407,455,523,703,825
01,097,2004,407,455,523,703,825
01,001,2004,425,454,537,731,881
01,051,2004,425,454,537,731,881
01,101,2004,425,454,537,731,881
01,125,2004,367,392,523,717,758
01,005,2004,261,311,370,480,550
01,007,2004,261,311,370,500,599
01,011,2004,261,311,370,480,550
01,013,2004,261,311,370,480,550
01,017,2004,261,311,370,480,551
01,019,2004,261,311,370,480,550
01,021,2004,271,311,370,480,550
01,023,2004,261,311,370,480,550
01,025,2004,261,311,370,480,550
01,027,2004,261,311,370,480,550
01,029,2004,261,311,370,480,550
01,031,2004,261,367,477,663,744
01,035,2004,261,311,370,480,550
01,037,2004,261,311,370,480,550
01,039,2004,261,311,370,480,550
01,041,2004,261,311,370,480,550
01,043,2004,261,311,370,492,598
01,047,2004,261,311,370,480,550
01,049,2004,261,311,370,480,550
01,053,2004,261,311,370,480,550
01,057,2004,261,311,370,480,550
01,059,2004,261,311,370,480,550
01,061,2004,261,311,370,480,550
01,063,2004,261,311,370,480,550
01,065,2004,261,311,370,480,550
01,067,2004,261,311,370,480,550
01,071,2004,282,311,370,480,589
01,075,2004,261,311,370,480,550
01,085,2004,261,311,370,480,550
01,087,2004,285,320,427,535,599
01,091,2004,261,311,370,480,550
01,093,2004,261,311,370,480,550
01,095,2004,300,311,378,522,619
01,099,2004,261,311,370,480,550
01,105,2004,261,311,370,480,550
01,107,2004,261,311,370,480,550
01,109,2004,313,364,434,563,656
01,111,2004,261,311,370,480,550
01,119,2004,261,311,370,480,550
01,121,2004,261,311,370,480,550
01,123,2004,262,311,370,480,550
01,127,2004,261,322,380,491,624
01,129,2004,261,311,370,480,550
01,131,2004,261,311,370,480,550
01,133,2004,261,311,370,480,550
02,020,2004,565,668,885,1231,1454
02,013,2004,563,635,718,895,1172
02,016,2004,484,547,612,769,860
02,050,2004,729,910,1154,1445,1617
02,060,2004,584,675,757,1054,1145
02,068,2004,784,905,1153,1533,1593
02,070,2004,704,716,951,1190,1333
02,090,2004,444,604,793,1090,1285
02,100,2004,525,650,740,1006,1037
02,110,2004,784,905,1153,1533,1593
02,122,2004,478,608,733,1017,1201
02,130,2004,576,705,943,1313,1382
02,150,2004,749,824,1071,1338,1736
02,164,2004,450,730,820,1023,1149
02,170,2004,504,682,768,1042,1231
02,180,2004,741,917,1030,1434,1618
02,185,2004,842,862,1067,1482,1727
02,188,2004,892,1003,1126,1567,1848
02,201,2004,393,625,720,998,1055
02,220,2004,620,737,827,1151,1358
02,232,2004,482,490,634,795,892
02,240,2004,494,519,625,783,879
02,261,2004,589,722,801,1023,1220
02,270,2004,422,634,716,894,1001
02,280,2004,429,632,769,978,1075
02,282,2004,482,490,634,795,892
02,290,2004,561,633,714,893,1033
04,005,2004,633,683,887,1190,1429
04,015,2004,606,719,856,1191,1407
04,013,2004,549,664,835,1161,1367
04,021,2004,549,664,835,1161,1367
04,019,2004,443,531,707,983,1159
04,027,2004,427,495,659,915,922
