FIPS,FIPS_state,FIPS_county,year,annual_change_pct,hpi,hpi_with_1990_base,hpi_with_2000_base
1001,1,1,1986,,100,95.33,70.56
1001,1,1,1987,-2.53,97.47,92.92,68.77
1001,1,1,1988,3.73,101.1,96.38,71.33
1001,1,1,1989,4.29,105.43,100.51,74.39
1001,1,1,1990,-0.51,104.9,100,74.01
1001,1,1,1991,2.82,107.85,102.82,76.1
1001,1,1,1992,2.9,110.98,105.8,78.31
1001,1,1,1993,3.61,114.99,109.62,81.13
1001,1,1,1994,4.26,119.88,114.29,84.59
1001,1,1,1995,3.59,124.19,118.39,87.62
1001,1,1,1996,2.6,127.42,121.47,89.9
1001,1,1,1997,3.46,131.83,125.67,93.01
1001,1,1,1998,3.47,136.4,130.03,96.24
1001,1,1,1999,1.61,138.59,132.12,97.79
1001,1,1,2000,2.26,141.73,135.11,100
1001,1,1,2001,3.64,146.89,140.03,103.64
1001,1,1,2002,2.57,150.66,143.63,106.31
1001,1,1,2003,1.84,153.44,146.28,108.27
1001,1,1,2004,2.65,157.51,150.16,111.14
1001,1,1,2005,7.2,168.85,160.97,119.14
1001,1,1,2006,7.57,181.63,173.15,128.15
1001,1,1,2007,4.44,189.69,180.84,133.84
1001,1,1,2008,0.18,190.03,181.15,134.08
1001,1,1,2009,-2.15,185.95,177.27,131.2
1001,1,1,2010,-2.97,180.43,172.01,127.31
1001,1,1,2011,-2.23,176.41,168.17,124.47
1001,1,1,2012,-3.03,171.07,163.08,120.7
1001,1,1,2013,0.66,172.2,164.16,121.5
1001,1,1,2014,-0.14,171.96,163.93,121.33
1001,1,1,2015,1.27,174.14,166.01,122.87
1001,1,1,2016,2.13,177.85,169.55,125.49
1001,1,1,2017,3,183.19,174.64,129.26
1001,1,1,2018,0.81,184.68,176.06,130.31
1001,1,1,2019,3.83,191.76,182.81,135.3
1001,1,1,2020,0.41,192.54,183.55,135.86
1003,1,3,1977,,100,68.81,41.74
1003,1,3,1978,1.62,101.62,69.93,42.41
1003,1,3,1979,4.4,106.09,73.01,44.28
1003,1,3,1980,21.27,128.66,88.53,53.7
1003,1,3,1981,-15.51,108.7,74.8,45.37
1003,1,3,1982,1.44,110.27,75.88,46.02
1003,1,3,1983,26.49,139.48,95.98,58.22
1003,1,3,1984,-2.88,135.46,93.22,56.54
1003,1,3,1985,1.65,137.7,94.75,57.47
