,AQI,Net Migration Outflow,year
0,71.0,61910,1993
1,72.0,64795,1994
2,64.0,65215,1995
3,62.0,61304,1996
4,67.0,61246,1997
5,72.0,59521,1998
6,74.0,61838,1999
7,77.0,66437,2000
8,71.0,66528,2001
9,69.0,76001,2002
10,64.0,76250,2003
11,70.0,79267,2004
12,67.0,76221,2005
13,67.0,71333,2006
14,74.0,51791,2007
15,71.0,33431,2008
16,60.0,21228,2009
17,60.0,25058,2010
18,60.0,25550,2011
19,60.0,27314,2012
20,54.0,40875,2013
21,55.0,45177,2014
22,53.0,30793,2015
23,51.0,55702,2016
24,50.0,86023,2017
25,54.0,54337,2018
26,53.0,46148,2019
27,31.0,-2382,1993
28,31.0,-2889,1994
29,29.0,123,1995
30,30.0,2827,1996
31,30.0,1665,1997
32,31.0,206,1998
33,33.0,-176,1999
34,34.0,4292,2000
35,33.0,5080,2001
36,32.0,6055,2002
37,30.0,9033,2003
38,29.0,7285,2004
39,31.0,8420,2005
40,29.0,8635,2006
41,51.0,7184,2007
42,45.0,3699,2008
43,49.0,2556,2009
44,46.0,1326,2010
45,50.0,75,2011
46,44.0,2962,2012
47,40.0,1596,2013
48,38.0,3455,2014
49,39.0,2204,2015
50,40.0,5420,2016
51,41.0,7197,2017
52,45.0,5862,2018
53,42.0,5897,2019
54,31.0,-188,1993
55,32.0,-177,1994
56,35.0,66,1995
57,36.0,114,1996
58,36.0,215,1997
59,36.0,325,1998
60,36.0,185,1999
61,36.0,254,2000
62,39.0,162,2001
63,38.0,26,2002
64,35.0,69,2003
65,35.0,260,2004
66,41.0,49,2005
67,37.0,51,2006
68,38.0,249,2007
69,33.0,131,2008
70,33.0,-24,2009
71,37.0,40,2010
72,37.0,-26,2011
73,35.0,-126,2012
74,37.0,-2,2013
75,37.0,14,2014
76,40.0,7,2015
77,36.0,151,2016
78,41.0,169,2017
79,35.0,155,2018
80,41.0,48,2019
81,17.0,-230,2001
82,19.0,-242,2002
83,30.0,-190,2003
84,27.0,-32,2004
85,27.0,-215,2005
86,21.0,-245,2006
87,42.0,-187,2007
88,35.0,-80,2008
89,21.0,-9,2009
90,38.0,-134,2010
91,43.0,103,2011
92,33.0,135,2012
93,44.0,-21,2013
94,38.0,-79,2014
95,39.0,-9,2015
96,30.0,54,2016
97,33.0,-315,2017
98,31.0,-106,2018
99,33.0,-159,2019
100,52.0,4,1993
101,49.0,259,1994
102,37.0,32,1995
103,36.0,507,1996
104,30.0,242,1997
105,33.0,255,1998
106,36.0,221,1999
107,33.0,296,2000
108,33.0,182,2001
109,28.0,107,2002
110,24.0,278,2003
111,26.0,369,2004
112,27.0,321,2005
113,21.0,540,2006
114,24.0,239,2007
115,14.0,442,2008
