FIPS,year,tot_out,tot_in,net_out,Median AQI
1003,2000,2919.0,4937.0,-2018.0,54
1003,2001,3129.0,4589.0,-1460.0,43
1003,2002,3161.0,4754.0,-1593.0,38
1003,2003,3126.0,4814.0,-1688.0,41
1003,2004,3109.0,5415.0,-2306.0,43
1003,2005,3305.0,6255.0,-2950.0,46
1003,2006,3737.0,6740.0,-3003.0,46
1003,2007,3907.0,5439.0,-1532.0,43
1003,2008,4183.0,5725.0,-1542.0,37
1003,2009,3445.0,5583.0,-2138.0,36
1003,2010,3506.0,5676.0,-2170.0,43
1003,2011,4300.0,5875.0,-1575.0,42
1003,2012,4987.0,6759.0,-1772.0,38
1003,2013,5169.0,7561.0,-2392.0,36
1003,2014,3791.0,5166.0,-1375.0,38
1003,2015,2823.0,3521.0,-698.0,38
1003,2016,3429.0,5479.0,-2050.0,37
1003,2017,4590.0,9258.0,-4668.0,36
1003,2018,3722.0,6276.0,-2554.0,35
1003,2019,3574.0,5866.0,-2292.0,37
1005,2003,684.0,496.0,188.0,38
1005,2004,668.0,480.0,188.0,45
1005,2005,670.0,481.0,189.0,47
1005,2006,713.0,450.0,263.0,35
1015,1993,3320.0,3002.0,318.0,23
1015,1994,3401.0,2886.0,515.0,19
1015,1995,3445.0,3475.0,-30.0,19
1015,1996,3693.0,3188.0,505.0,17
1015,1997,2906.0,2932.0,-26.0,19
1015,1998,3343.0,2744.0,599.0,23
1027,1993,324.0,338.0,-14.0,44
1027,1994,314.0,339.0,-25.0,38
1027,1995,346.0,335.0,11.0,42
1027,1996,301.0,297.0,4.0,45
1027,1997,317.0,416.0,-99.0,48
1027,1998,290.0,281.0,9.0,54
1027,1999,400.0,382.0,18.0,58
1027,2000,238.0,307.0,-69.0,46
1027,2001,373.0,315.0,58.0,46
1027,2002,310.0,340.0,-30.0,45
1027,2003,369.0,294.0,75.0,44
1027,2004,354.0,262.0,92.0,44
1027,2005,324.0,211.0,113.0,46
1027,2006,390.0,298.0,92.0,48
1027,2007,314.0,300.0,14.0,50
1027,2008,392.0,414.0,-22.0,43
1027,2009,297.0,508.0,-211.0,33
1027,2010,461.0,279.0,182.0,42
1027,2011,312.0,311.0,1.0,39
1027,2012,552.0,323.0,229.0,35
1027,2013,344.0,412.0,-68.0,32
1027,2014,240.0,277.0,-37.0,36
1027,2015,266.0,179.0,87.0,32
1027,2016,270.0,266.0,4.0,30
1027,2017,402.0,384.0,18.0,30
