,fips,year,num_ind,agi
0,54001,1993,62,582000
1,54001,1994,-64,-449000
2,54001,1995,-32,-711000
3,54001,1996,48,143000
4,54001,1997,16,406000
5,54001,1998,-24,275000
6,54001,1999,71,991000
7,54001,2000,-13,-95000
8,54001,2001,52,1014000
9,54001,2002,-59,-393000
10,54001,2003,-45,-430000
11,54001,2004,44,400000
12,54001,2005,-30,74000
13,54001,2006,-32,-148000
14,54001,2007,-37,-913000
15,54001,2008,-56,350000
16,54001,2009,-44,-804000
17,54001,2010,-19,-754000
18,54001,2011,98,1123000
19,54001,2012,11,-550000
20,54001,2013,51,915000
21,54001,2014,-106,-1663000
22,54001,2015,31,-117000
23,54001,2016,134,2500000
24,54001,2017,96,1292000
25,54001,2018,60,675000
26,54001,2019,-90,-705000
27,17031,1993,61910,1317916000
28,17031,1994,64795,1413881000
29,17031,1995,65215,1437511000
30,17031,1996,61304,1451748000
31,17031,1997,61246,1466684000
32,17031,1998,59521,1809026000
33,17031,1999,61838,1769141000
34,17031,2000,66437,1985827000
35,17031,2001,66528,1919039000
36,17031,2002,76001,2126011000
37,17031,2003,76250,1984680000
38,17031,2004,79267,2020344000
39,17031,2005,76221,1938596000
40,17031,2006,71333,1901724000
41,17031,2007,51791,1382206000
42,17031,2008,33431,924065000
43,17031,2009,21228,754984000
44,17031,2010,25058,906308000
45,17031,2011,25550,948139000
46,17031,2012,27314,870915000
47,17031,2013,40875,1804771000
48,17031,2014,45177,1836509000
49,17031,2015,30793,1655481000
50,17031,2016,55702,2772362000
51,17031,2017,86023,3202024000
52,17031,2018,54337,2584442000
53,17031,2019,46148,2795021000
54,17043,1993,-2382,11080000
55,17043,1994,-2889,-38494000
56,17043,1995,123,60934000
57,17043,1996,2827,98619000
58,17043,1997,1665,119198000
59,17043,1998,206,59795000
60,17043,1999,-176,50448000
61,17043,2000,4292,218740000
62,17043,2001,5080,353965000
63,17043,2002,6055,337538000
64,17043,2003,9033,389321000
65,17043,2004,7285,326899000
66,17043,2005,8420,340593000
67,17043,2006,8635,382788000
68,17043,2007,7184,373213000
69,17043,2008,3699,185699000
70,17043,2009,2556,166070000
71,17043,2010,1326,85097000
72,17043,2011,75,43584000
73,17043,2012,2962,231981000
74,17043,2013,1596,153353000
75,17043,2014,3455,235132000
76,17043,2015,2204,253160000
77,17043,2016,5420,472484000
78,17043,2017,7197,382951000
79,17043,2018,5862,544923000
80,17043,2019,5897,387569000
81,17041,1993,-119,-1381000
