FIPS,year,tot_out,tot_in,net_out,employment,GeoName
1001,1993,1526.0,1557.0,-31.0,12523,"Autauga, AL"
1001,1994,1321.0,1788.0,-467.0,12751,"Autauga, AL"
1001,1995,1453.0,1748.0,-295.0,13033,"Autauga, AL"
1001,1996,1469.0,1898.0,-429.0,13644,"Autauga, AL"
1001,1997,1477.0,1825.0,-348.0,14088,"Autauga, AL"
1001,1998,1675.0,1771.0,-96.0,15237,"Autauga, AL"
1001,1999,1581.0,1842.0,-261.0,15627,"Autauga, AL"
1001,2000,1683.0,2198.0,-515.0,16138,"Autauga, AL"
1001,2001,1605.0,2004.0,-399.0,16211,"Autauga, AL"
1001,2002,1840.0,2026.0,-186.0,15944,"Autauga, AL"
1001,2003,1899.0,2215.0,-316.0,16484,"Autauga, AL"
1001,2004,1982.0,2641.0,-659.0,16884,"Autauga, AL"
1001,2005,2228.0,2491.0,-263.0,17404,"Autauga, AL"
1001,2006,2389.0,2989.0,-600.0,17189,"Autauga, AL"
1001,2007,2351.0,2620.0,-269.0,17998,"Autauga, AL"
1001,2008,2389.0,2688.0,-299.0,17802,"Autauga, AL"
1001,2009,2344.0,2360.0,-16.0,17483,"Autauga, AL"
1001,2010,2252.0,2405.0,-153.0,16988,"Autauga, AL"
1001,2011,2475.0,2556.0,-81.0,17298,"Autauga, AL"
1001,2012,2990.0,2799.0,191.0,16421,"Autauga, AL"
1001,2013,2447.0,2795.0,-348.0,16476,"Autauga, AL"
1001,2014,2304.0,2148.0,156.0,16858,"Autauga, AL"
1001,2015,1542.0,1794.0,-252.0,17278,"Autauga, AL"
1001,2016,1965.0,2109.0,-144.0,17434,"Autauga, AL"
1001,2017,2853.0,2979.0,-126.0,17800,"Autauga, AL"
1001,2018,2116.0,2286.0,-170.0,18172,"Autauga, AL"
1001,2019,1926.0,2248.0,-322.0,18493,"Autauga, AL"
1003,1993,2008.0,4424.0,-2416.0,47280,"Baldwin, AL"
1003,1994,2066.0,4685.0,-2619.0,50770,"Baldwin, AL"
1003,1995,2496.0,4516.0,-2020.0,54511,"Baldwin, AL"
1003,1996,2746.0,4509.0,-1763.0,56932,"Baldwin, AL"
1003,1997,2599.0,4918.0,-2319.0,60806,"Baldwin, AL"
1003,1998,2677.0,4685.0,-2008.0,64758,"Baldwin, AL"
1003,1999,2861.0,4306.0,-1445.0,67472,"Baldwin, AL"
1003,2000,2919.0,4937.0,-2018.0,69423,"Baldwin, AL"
1003,2001,3129.0,4589.0,-1460.0,70661,"Baldwin, AL"
1003,2002,3161.0,4754.0,-1593.0,71892,"Baldwin, AL"
1003,2003,3126.0,4814.0,-1688.0,73844,"Baldwin, AL"
1003,2004,3109.0,5415.0,-2306.0,77691,"Baldwin, AL"
1003,2005,3305.0,6255.0,-2950.0,82612,"Baldwin, AL"
