FIPS,year,tot_out,tot_in,net_out,hpi
1001,1993,1526.0,1557.0,-31.0,114.99
1001,1994,1321.0,1788.0,-467.0,119.88
1001,1995,1453.0,1748.0,-295.0,124.19
1001,1996,1469.0,1898.0,-429.0,127.42
1001,1997,1477.0,1825.0,-348.0,131.83
1001,1998,1675.0,1771.0,-96.0,136.4
1001,1999,1581.0,1842.0,-261.0,138.59
1001,2000,1683.0,2198.0,-515.0,141.73
1001,2001,1605.0,2004.0,-399.0,146.89
1001,2002,1840.0,2026.0,-186.0,150.66
1001,2003,1899.0,2215.0,-316.0,153.44
1001,2004,1982.0,2641.0,-659.0,157.51
1001,2005,2228.0,2491.0,-263.0,168.85
1001,2006,2389.0,2989.0,-600.0,181.63
1001,2007,2351.0,2620.0,-269.0,189.69
1001,2008,2389.0,2688.0,-299.0,190.03
1001,2009,2344.0,2360.0,-16.0,185.95
1001,2010,2252.0,2405.0,-153.0,180.43
1001,2011,2475.0,2556.0,-81.0,176.41
1001,2012,2990.0,2799.0,191.0,171.07
1001,2013,2447.0,2795.0,-348.0,172.2
1001,2014,2304.0,2148.0,156.0,171.96
1001,2015,1542.0,1794.0,-252.0,174.14
1001,2016,1965.0,2109.0,-144.0,177.85
1001,2017,2853.0,2979.0,-126.0,183.19
1001,2018,2116.0,2286.0,-170.0,184.68
1001,2019,1926.0,2248.0,-322.0,191.76
1003,1993,2008.0,4424.0,-2416.0,169.24
1003,1994,2066.0,4685.0,-2619.0,181.38
1003,1995,2496.0,4516.0,-2020.0,195.72
1003,1996,2746.0,4509.0,-1763.0,202.29
1003,1997,2599.0,4918.0,-2319.0,215.65
1003,1998,2677.0,4685.0,-2008.0,225.09
1003,1999,2861.0,4306.0,-1445.0,231.58
1003,2000,2919.0,4937.0,-2018.0,239.6
1003,2001,3129.0,4589.0,-1460.0,250.83
1003,2002,3161.0,4754.0,-1593.0,254.85
1003,2003,3126.0,4814.0,-1688.0,263.49
1003,2004,3109.0,5415.0,-2306.0,275.56
1003,2005,3305.0,6255.0,-2950.0,319.91
1003,2006,3737.0,6740.0,-3003.0,373.82
1003,2007,3907.0,5439.0,-1532.0,382.42
1003,2008,4183.0,5725.0,-1542.0,365.22
1003,2009,3445.0,5583.0,-2138.0,337.41
1003,2010,3506.0,5676.0,-2170.0,296.32
1003,2011,4300.0,5875.0,-1575.0,277.88
1003,2012,4987.0,6759.0,-1772.0,278.74
1003,2013,5169.0,7561.0,-2392.0,281.87
1003,2014,3791.0,5166.0,-1375.0,307.02
1003,2015,2823.0,3521.0,-698.0,318.77
1003,2016,3429.0,5479.0,-2050.0,335.5
1003,2017,4590.0,9258.0,-4668.0,351.07
1003,2018,3722.0,6276.0,-2554.0,373.1
1003,2019,3574.0,5866.0,-2292.0,396.35
1005,1993,513.0,504.0,9.0,124.74
1005,1994,556.0,492.0,64.0,127.34
1005,1995,566.0,424.0,142.0,137.56
1005,1996,556.0,422.0,134.0,146.08
1005,1997,630.0,494.0,136.0,155.79
1005,1998,513.0,483.0,30.0,163.44
1005,1999,642.0,529.0,113.0,166.73
1005,2000,593.0,462.0,131.0,176.34
1005,2001,651.0,584.0,67.0,187.39
1005,2002,606.0,497.0,109.0,188.57
1005,2003,684.0,496.0,188.0,188.39
1005,2004,668.0,480.0,188.0,187.92
1005,2005,670.0,481.0,189.0,201.74
1005,2006,713.0,450.0,263.0,220.45
1005,2007,631.0,462.0,169.0,233.33
1005,2008,750.0,518.0,232.0,240.11
1005,2009,630.0,466.0,164.0,233.31
1005,2010,722.0,540.0,182.0,222.99
1005,2011,597.0,714.0,-117.0,219.72
1005,2012,924.0,758.0,166.0,216.65
1005,2013,869.0,762.0,107.0,210.64
1005,2014,566.0,541.0,25.0,196.32
1005,2015,318.0,294.0,24.0,207.95
1005,2016,486.0,300.0,186.0,205.37
1005,2017,615.0,366.0,249.0,211.54
1005,2018,441.0,318.0,123.0,208.25
1005,2019,327.0,293.0,34.0,205.62
1007,1998,574.0,733.0,-159.0,100.0
1007,1999,590.0,925.0,-335.0,110.94
1007,2000,626.0,731.0,-105.0,110.22
1007,2001,567.0,693.0,-126.0,116.75
1007,2002,684.0,641.0,43.0,121.19
1007,2003,574.0,673.0,-99.0,122.37
1007,2004,616.0,631.0,-15.0,124.05
1007,2005,611.0,746.0,-135.0,132.32
1007,2006,675.0,677.0,-2.0,142.82
1007,2007,626.0,747.0,-121.0,142.79
1007,2008,778.0,772.0,6.0,146.53
1007,2009,666.0,676.0,-10.0,143.15
1007,2010,708.0,698.0,10.0,135.13
1007,2011,657.0,630.0,27.0,138.32
1007,2012,882.0,746.0,136.0,136.51
1007,2013,688.0,761.0,-73.0,130.68
1007,2014,638.0,844.0,-206.0,139.46
1007,2015,464.0,494.0,-30.0,131.65
1007,2016,615.0,646.0,-31.0,136.84
1007,2017,765.0,911.0,-146.0,139.7
1007,2018,697.0,610.0,87.0,149.34
1007,2019,529.0,575.0,-46.0,156.59
1009,1993,1136.0,1568.0,-432.0,98.31
1009,1994,1392.0,1701.0,-309.0,108.2
1009,1995,1287.0,1704.0,-417.0,114.18
1009,1996,1218.0,1640.0,-422.0,121.72
1009,1997,1412.0,2107.0,-695.0,123.34
1009,1998,1323.0,2030.0,-707.0,130.54
1009,1999,1505.0,2144.0,-639.0,136.55
1009,2000,1585.0,1979.0,-394.0,140.19
1009,2001,1517.0,2092.0,-575.0,146.1
1009,2002,1587.0,2081.0,-494.0,148.44
1009,2003,1501.0,2117.0,-616.0,151.54
1009,2004,1741.0,2107.0,-366.0,155.12
1009,2005,1713.0,1981.0,-268.0,165.35
1009,2006,1692.0,2043.0,-351.0,174.12
1009,2007,1583.0,2295.0,-712.0,175.6
1009,2008,1746.0,2293.0,-547.0,180.7
1009,2009,1754.0,2193.0,-439.0,177.97
1009,2010,1736.0,1928.0,-192.0,168.54
1009,2011,1685.0,1793.0,-108.0,163.29
1009,2012,2103.0,2182.0,-79.0,159.65
1009,2013,2112.0,2166.0,-54.0,161.43
1009,2014,1728.0,1819.0,-91.0,161.89
1009,2015,1444.0,1501.0,-57.0,164.54
1009,2016,1572.0,1883.0,-311.0,166.71
1009,2017,1923.0,2636.0,-713.0,175.65
1009,2018,1785.0,1812.0,-27.0,180.17
1009,2019,1613.0,1891.0,-278.0,187.03
1013,1993,338.0,328.0,10.0,100.0
1013,1994,385.0,318.0,67.0,108.58
1013,1995,391.0,336.0,55.0,106.92
1013,1996,475.0,365.0,110.0,120.26
1013,1997,299.0,458.0,-159.0,119.0
1013,1998,395.0,231.0,164.0,132.94
1013,1999,383.0,265.0,118.0,134.01
1013,2000,410.0,218.0,192.0,134.57
1013,2001,351.0,235.0,116.0,133.63
1013,2002,375.0,240.0,135.0,139.51
1013,2003,325.0,243.0,82.0,141.95
1013,2004,384.0,248.0,136.0,149.17
1013,2005,376.0,302.0,74.0,161.26
1013,2006,395.0,212.0,183.0,161.51
1013,2007,353.0,335.0,18.0,174.98
1013,2008,422.0,336.0,86.0,179.25
1013,2009,447.0,309.0,138.0,172.8
1013,2010,370.0,370.0,0.0,166.04
1013,2011,356.0,401.0,-45.0,157.24
1013,2012,460.0,430.0,30.0,161.69
1013,2013,408.0,394.0,14.0,159.18
1013,2014,305.0,257.0,48.0,166.57
1013,2015,179.0,150.0,29.0,158.67
1013,2016,205.0,122.0,83.0,158.97
1013,2017,424.0,314.0,110.0,163.53
1013,2018,225.0,205.0,20.0,171.44
1013,2019,255.0,275.0,-20.0,166.59
1015,1993,3320.0,3002.0,318.0,172.78
1015,1994,3401.0,2886.0,515.0,180.2
1015,1995,3445.0,3475.0,-30.0,183.59
1015,1996,3693.0,3188.0,505.0,188.61
1015,1997,2906.0,2932.0,-26.0,201.27
1015,1998,3343.0,2744.0,599.0,208.3
1015,1999,3632.0,2738.0,894.0,211.04
1015,2000,5638.0,2518.0,3120.0,217.38
1015,2001,2745.0,2303.0,442.0,230.61
1015,2002,2555.0,2519.0,36.0,237.7
1015,2003,2524.0,2672.0,-148.0,245.11
1015,2004,2744.0,2379.0,365.0,251.73
1015,2005,2435.0,2299.0,136.0,265.52
1015,2006,2685.0,2634.0,51.0,281.31
1015,2007,2663.0,2370.0,293.0,292.35
1015,2008,2781.0,2686.0,95.0,297.27
1015,2009,2502.0,2505.0,-3.0,291.87
1015,2010,2433.0,2386.0,47.0,278.48
1015,2011,2611.0,2311.0,300.0,267.66
1015,2012,3629.0,2771.0,858.0,264.01
1015,2013,3173.0,2970.0,203.0,262.36
1015,2014,2555.0,2100.0,455.0,260.74
1015,2015,2091.0,1794.0,297.0,261.14
1015,2016,2619.0,2301.0,318.0,269.37
1015,2017,3405.0,2783.0,622.0,273.01
1015,2018,2553.0,2397.0,156.0,283.17
1015,2019,2504.0,2114.0,390.0,296.49
1017,1993,995.0,887.0,108.0,121.53
1017,1994,931.0,865.0,66.0,125.89
1017,1995,951.0,1074.0,-123.0,129.57
1017,1996,1171.0,931.0,240.0,130.58
1017,1997,1258.0,1020.0,238.0,138.54
