FIPS,year,tot_out,tot_in,net_out
1001,1993,1526.0,1557.0,-31.0
1001,1994,1321.0,1788.0,-467.0
1001,1995,1453.0,1748.0,-295.0
1001,1996,1469.0,1898.0,-429.0
1001,1997,1477.0,1825.0,-348.0
1001,1998,1675.0,1771.0,-96.0
1001,1999,1581.0,1842.0,-261.0
1001,2000,1683.0,2198.0,-515.0
1001,2001,1605.0,2004.0,-399.0
1001,2002,1840.0,2026.0,-186.0
1001,2003,1899.0,2215.0,-316.0
1001,2004,1982.0,2641.0,-659.0
1001,2005,2228.0,2491.0,-263.0
1001,2006,2389.0,2989.0,-600.0
1001,2007,2351.0,2620.0,-269.0
1001,2008,2389.0,2688.0,-299.0
1001,2009,2344.0,2360.0,-16.0
1001,2010,2252.0,2405.0,-153.0
1001,2011,2475.0,2556.0,-81.0
1001,2012,2990.0,2799.0,191.0
1001,2013,2447.0,2795.0,-348.0
1001,2014,2304.0,2148.0,156.0
1001,2015,1542.0,1794.0,-252.0
1001,2016,1965.0,2109.0,-144.0
1001,2017,2853.0,2979.0,-126.0
1001,2018,2116.0,2286.0,-170.0
1001,2019,1926.0,2248.0,-322.0
1003,1993,2008.0,4424.0,-2416.0
1003,1994,2066.0,4685.0,-2619.0
1003,1995,2496.0,4516.0,-2020.0
1003,1996,2746.0,4509.0,-1763.0
1003,1997,2599.0,4918.0,-2319.0
1003,1998,2677.0,4685.0,-2008.0
1003,1999,2861.0,4306.0,-1445.0
1003,2000,2919.0,4937.0,-2018.0
1003,2001,3129.0,4589.0,-1460.0
1003,2002,3161.0,4754.0,-1593.0
1003,2003,3126.0,4814.0,-1688.0
1003,2004,3109.0,5415.0,-2306.0
1003,2005,3305.0,6255.0,-2950.0
1003,2006,3737.0,6740.0,-3003.0
1003,2007,3907.0,5439.0,-1532.0
1003,2008,4183.0,5725.0,-1542.0
1003,2009,3445.0,5583.0,-2138.0
1003,2010,3506.0,5676.0,-2170.0
1003,2011,4300.0,5875.0,-1575.0
1003,2012,4987.0,6759.0,-1772.0
1003,2013,5169.0,7561.0,-2392.0
1003,2014,3791.0,5166.0,-1375.0
1003,2015,2823.0,3521.0,-698.0
1003,2016,3429.0,5479.0,-2050.0
1003,2017,4590.0,9258.0,-4668.0
1003,2018,3722.0,6276.0,-2554.0
1003,2019,3574.0,5866.0,-2292.0
1005,1993,513.0,504.0,9.0
1005,1994,556.0,492.0,64.0
1005,1995,566.0,424.0,142.0
1005,1996,556.0,422.0,134.0
1005,1997,630.0,494.0,136.0
